AdID,職位名稱,公司名稱,發布日期,職位詳情連結
HS26052112,合約教學助理 TA (全職 / 半職),匡智翠林晨崗學校 HONG CHI MORNINGHILL SCHOOL TSUI LAM,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052112/%E5%90%88%E7%B4%84%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86-TA-%E5%85%A8%E8%81%B7-%E5%8D%8A%E8%81%B7-
HS26052111,助理文書主任 ACO (常額 / 合約),匡智翠林晨崗學校 HONG CHI MORNINGHILL SCHOOL TSUI LAM,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052111/%E5%8A%A9%E7%90%86%E6%96%87%E6%9B%B8%E4%B8%BB%E4%BB%BB-ACO-%E5%B8%B8%E9%A1%8D-%E5%90%88%E7%B4%84-
HS26052105,文書助理,中華基督教會馮梁結紀念中學 THE CHURCH OF CHRIST IN CHINA FUNG LEUNG KIT MEMORIAL SECONDARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052105/%E6%96%87%E6%9B%B8%E5%8A%A9%E7%90%86
HS26052104,資訊科技技術員 TSS,中華基督教會馮梁結紀念中學 THE CHURCH OF CHRIST IN CHINA FUNG LEUNG KIT MEMORIAL SECONDARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052104/%E8%B3%87%E8%A8%8A%E7%A7%91%E6%8A%80%E6%8A%80%E8%A1%93%E5%93%A1-TSS
HS26052103,輔導員,中華基督教會馮梁結紀念中學 THE CHURCH OF CHRIST IN CHINA FUNG LEUNG KIT MEMORIAL SECONDARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052103/%E8%BC%94%E5%B0%8E%E5%93%A1
HS26052102,教學助理,中華基督教會馮梁結紀念中學 THE CHURCH OF CHRIST IN CHINA FUNG LEUNG KIT MEMORIAL SECONDARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052102/%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86
HS26052101,經濟 / 中文 / 數理科教師 (2026-2027 學年),中華基督教會馮梁結紀念中學 THE CHURCH OF CHRIST IN CHINA FUNG LEUNG KIT MEMORIAL SECONDARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052101/%E7%B6%93%E6%BF%9F-%E4%B8%AD%E6%96%87-%E6%95%B8%E7%90%86%E7%A7%91%E6%95%99%E5%B8%AB-2026-2027-%E5%AD%B8%E5%B9%B4-
HS26052092,英文科教師 (合約) 一名,天主教石鐘山紀念小學 SHAK CHUNG SHAN MEMORIAL CATHOLIC PRIMARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052092/%E8%8B%B1%E6%96%87%E7%A7%91%E6%95%99%E5%B8%AB-%E5%90%88%E7%B4%84-%E4%B8%80%E5%90%8D
HS26052091,中文科教師 (合約) 一名,天主教石鐘山紀念小學 SHAK CHUNG SHAN MEMORIAL CATHOLIC PRIMARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052091/%E4%B8%AD%E6%96%87%E7%A7%91%E6%95%99%E5%B8%AB-%E5%90%88%E7%B4%84-%E4%B8%80%E5%90%8D
HS26052021,合約教師 (中文科),聖公會奉基千禧小學 S.K.H. FUNG KEI MILLENNIUM PRIMARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052021/%E5%90%88%E7%B4%84%E6%95%99%E5%B8%AB-%E4%B8%AD%E6%96%87%E7%A7%91-
